fold,train_set,test_set,feature_set,accuracy,f1_weighted,precision_weighted,recall_weighted,kappa,f1_macro,Model,Test_Lang,Features,col
4,mono_bikol,bikol_test,xlmr,70.0,0.682,0.7,0.177,0.5213,0.6416666666666666,BCL,BCL,XLM-R Embdng,BCL | XLM-R Embdng
4,mono_bikol,cebuano_test,xlmr,62.3188,0.0,0.623,0.301,0.3491,0.4773333333333333,BCL,CEB,XLM-R Embdng,CEB | XLM-R Embdng
4,mono_bikol,tagalog_test,all_xlmr,26.4151,0.0,0.264,0.264,0.0,0.1393333333333333,BCL,TGL,ALL (XLM-R),TGL | ALL (XLM-R)
4,mono_bikol,bikol_test,all_xlmr,73.3333,0.715,0.733,0.157,0.573,0.6703333333333333,BCL,BCL,ALL (XLM-R),BCL | ALL (XLM-R)
4,mono_bikol,cebuano_test,all_xlmr,62.3188,0.0,0.623,0.301,0.3491,0.4773333333333333,BCL,CEB,ALL (XLM-R),CEB | ALL (XLM-R)
4,mono_cebuano,tagalog_test,mbert,41.5094,0.427,0.415,0.336,0.0816,0.3643333333333333,CEB,TGL,mBERT Embdng,TGL | mBERT Embdng
4,mono_cebuano,bikol_test,mbert,40.0,0.666,0.4,0.178,0.1904,0.4076666666666666,CEB,BCL,mBERT Embdng,BCL | mBERT Embdng
4,mono_cebuano,cebuano_test,mbert,75.3623,0.752,0.754,0.179,0.5966,0.7316666666666668,CEB,CEB,mBERT Embdng,CEB | mBERT Embdng
4,mono_cebuano,tagalog_test,all,37.7358,0.371,0.377,0.354,0.0256,0.3323333333333333,CEB,TGL,ALL (mBERT),TGL | ALL (mBERT)
4,mono_cebuano,bikol_test,all,43.3333,0.64,0.433,0.181,0.2237,0.4363333333333334,CEB,BCL,ALL (mBERT),BCL | ALL (mBERT)
4,mono_cebuano,cebuano_test,all,76.8116,0.77,0.768,0.167,0.6232,0.7613333333333333,CEB,CEB,ALL (mBERT),CEB | ALL (mBERT)
4,mono_cebuano,tagalog_test,xlmr,47.1698,0.506,0.472,0.3,0.1806,0.4693333333333333,CEB,TGL,XLM-R Embdng,TGL | XLM-R Embdng
4,mono_cebuano,bikol_test,xlmr,60.0,0.752,0.6,0.155,0.4212,0.5823333333333333,CEB,BCL,XLM-R Embdng,BCL | XLM-R Embdng
4,mono_cebuano,cebuano_test,xlmr,76.8116,0.768,0.768,0.158,0.6205,0.7373333333333333,CEB,CEB,XLM-R Embdng,CEB | XLM-R Embdng
4,mono_cebuano,tagalog_test,all_xlmr,49.0566,0.521,0.491,0.288,0.2085,0.4736666666666667,CEB,TGL,ALL (XLM-R),TGL | ALL (XLM-R)
4,mono_cebuano,bikol_test,all_xlmr,60.0,0.671,0.6,0.172,0.4098,0.5710000000000001,CEB,BCL,ALL (XLM-R),BCL | ALL (XLM-R)
4,mono_cebuano,cebuano_test,all_xlmr,76.8116,0.768,0.768,0.158,0.6205,0.7373333333333333,CEB,CEB,ALL (XLM-R),CEB | ALL (XLM-R)
4,bi_bikol_tagalog,tagalog_test,mbert,47.1698,0.482,0.472,0.267,0.2102,0.4753333333333333,TGL+BCL,TGL,mBERT Embdng,TGL | mBERT Embdng
4,bi_bikol_tagalog,bikol_test,mbert,73.3333,0.79,0.733,0.1,0.5946,0.6933333333333334,TGL+BCL,BCL,mBERT Embdng,BCL | mBERT Embdng
4,bi_bikol_tagalog,cebuano_test,mbert,47.8261,0.487,0.478,0.273,0.2066,0.4736666666666667,TGL+BCL,CEB,mBERT Embdng,CEB | mBERT Embdng
4,bi_bikol_tagalog,tagalog_test,all,47.1698,0.478,0.472,0.271,0.2073,0.4793333333333333,TGL+BCL,TGL,ALL (mBERT),TGL | ALL (mBERT)
4,bi_bikol_tagalog,bikol_test,all,73.3333,0.79,0.733,0.1,0.5946,0.6933333333333334,TGL+BCL,BCL,ALL (mBERT),BCL | ALL (mBERT)
4,bi_bikol_tagalog,cebuano_test,all,52.1739,0.527,0.522,0.258,0.2648,0.5186666666666667,TGL+BCL,CEB,ALL (mBERT),CEB | ALL (mBERT)
4,bi_bikol_tagalog,tagalog_test,xlmr,50.9434,0.521,0.509,0.241,0.269,0.5106666666666667,TGL+BCL,TGL,XLM-R Embdng,TGL | XLM-R Embdng
4,bi_bikol_tagalog,bikol_test,xlmr,73.3333,0.758,0.733,0.117,0.5897,0.6926666666666667,TGL+BCL,BCL,XLM-R Embdng,BCL | XLM-R Embdng
4,bi_bikol_tagalog,cebuano_test,xlmr,53.6232,0.456,0.536,0.221,0.293,0.4366666666666667,TGL+BCL,CEB,XLM-R Embdng,CEB | XLM-R Embdng
4,bi_bikol_tagalog,tagalog_test,all_xlmr,50.9434,0.514,0.509,0.244,0.2655,0.5076666666666666,TGL+BCL,TGL,ALL (XLM-R),TGL | ALL (XLM-R)
4,bi_bikol_tagalog,bikol_test,all_xlmr,70.0,0.697,0.7,0.148,0.5312,0.641,TGL+BCL,BCL,ALL (XLM-R),BCL | ALL (XLM-R)
4,bi_bikol_tagalog,cebuano_test,all_xlmr,52.1739,0.441,0.522,0.246,0.261,0.433,TGL+BCL,CEB,ALL (XLM-R),CEB | ALL (XLM-R)
4,bi_cebuano_bikol,tagalog_test,mbert,43.3962,0.354,0.434,0.297,0.1382,0.3696666666666666,BCL+CEB,TGL,mBERT Embdng,TGL | mBERT Embdng
4,bi_cebuano_bikol,bikol_test,mbert,76.6667,0.776,0.767,0.108,0.6367,0.722,BCL+CEB,BCL,mBERT Embdng,BCL | mBERT Embdng
4,bi_cebuano_bikol,cebuano_test,mbert,75.3623,0.752,0.754,0.173,0.5997,0.743,BCL+CEB,CEB,mBERT Embdng,CEB | mBERT Embdng
4,bi_cebuano_bikol,tagalog_test,all,43.3962,0.391,0.434,0.297,0.1387,0.3853333333333333,BCL+CEB,TGL,ALL (mBERT),TGL | ALL (mBERT)
4,bi_cebuano_bikol,bikol_test,all,80.0,0.803,0.8,0.089,0.6875,0.75,BCL+CEB,BCL,ALL (mBERT),BCL | ALL (mBERT)
4,bi_cebuano_bikol,cebuano_test,all,75.3623,0.752,0.754,0.173,0.5997,0.743,BCL+CEB,CEB,ALL (mBERT),CEB | ALL (mBERT)
4,bi_cebuano_bikol,tagalog_test,xlmr,39.6226,0.382,0.396,0.319,0.0823,0.3879999999999999,BCL+CEB,TGL,XLM-R Embdng,TGL | XLM-R Embdng
4,bi_cebuano_bikol,bikol_test,xlmr,73.3333,0.752,0.733,0.128,0.5862,0.6943333333333334,BCL+CEB,BCL,XLM-R Embdng,BCL | XLM-R Embdng
4,bi_cebuano_bikol,cebuano_test,xlmr,71.0145,0.736,0.71,0.168,0.5347,0.6869999999999999,BCL+CEB,CEB,XLM-R Embdng,CEB | XLM-R Embdng
4,bi_cebuano_bikol,tagalog_test,all_xlmr,45.283,0.45,0.453,0.285,0.1692,0.4473333333333333,BCL+CEB,TGL,ALL (XLM-R),TGL | ALL (XLM-R)
4,bi_cebuano_bikol,bikol_test,all_xlmr,80.0,0.803,0.8,0.089,0.6875,0.75,BCL+CEB,BCL,ALL (XLM-R),BCL | ALL (XLM-R)
4,bi_cebuano_bikol,cebuano_test,all_xlmr,72.4638,0.745,0.725,0.162,0.5586,0.7076666666666668,BCL+CEB,CEB,ALL (XLM-R),CEB | ALL (XLM-R)
4,bi_tagalog_cebuano,tagalog_test,mbert,52.8302,0.573,0.528,0.262,0.276,0.5426666666666667,CEB+TGL,TGL,mBERT Embdng,TGL | mBERT Embdng
4,bi_tagalog_cebuano,bikol_test,mbert,30.0,0.844,0.3,0.175,0.1038,0.2716666666666666,CEB+TGL,BCL,mBERT Embdng,BCL | mBERT Embdng
4,bi_tagalog_cebuano,cebuano_test,mbert,68.1159,0.697,0.681,0.195,0.4925,0.6833333333333332,CEB+TGL,CEB,mBERT Embdng,CEB | mBERT Embdng
4,bi_tagalog_cebuano,tagalog_test,all,49.0566,0.527,0.491,0.28,0.221,0.5026666666666667,CEB+TGL,TGL,ALL (mBERT),TGL | ALL (mBERT)
4,bi_tagalog_cebuano,bikol_test,all,26.6667,0.843,0.267,0.183,0.0678,0.221,CEB+TGL,BCL,ALL (mBERT),BCL | ALL (mBERT)
4,bi_tagalog_cebuano,cebuano_test,all,68.1159,0.708,0.681,0.188,0.494,0.6813333333333333,CEB+TGL,CEB,ALL (mBERT),CEB | ALL (mBERT)
4,bi_tagalog_cebuano,tagalog_test,xlmr,45.283,0.461,0.453,0.295,0.1624,0.446,CEB+TGL,TGL,XLM-R Embdng,TGL | XLM-R Embdng
4,bi_tagalog_cebuano,bikol_test,xlmr,50.0,0.559,0.5,0.23,0.2611,0.4466666666666666,CEB+TGL,BCL,XLM-R Embdng,BCL | XLM-R Embdng
4,bi_tagalog_cebuano,cebuano_test,xlmr,75.3623,0.765,0.754,0.124,0.616,0.742,CEB+TGL,CEB,XLM-R Embdng,CEB | XLM-R Embdng
4,bi_tagalog_cebuano,tagalog_test,all_xlmr,43.3962,0.445,0.434,0.311,0.1273,0.423,CEB+TGL,TGL,ALL (XLM-R),TGL | ALL (XLM-R)
4,bi_tagalog_cebuano,bikol_test,all_xlmr,53.3333,0.614,0.533,0.2,0.3137,0.4896666666666666,CEB+TGL,BCL,ALL (XLM-R),BCL | ALL (XLM-R)
4,bi_tagalog_cebuano,cebuano_test,all_xlmr,73.913,0.754,0.739,0.13,0.5929,0.7236666666666666,CEB+TGL,CEB,ALL (XLM-R),CEB | ALL (XLM-R)
4,all_languages,tagalog_test,mbert,50.9434,0.522,0.509,0.267,0.2478,0.5086666666666667,ALL,TGL,mBERT Embdng,TGL | mBERT Embdng
4,all_languages,bikol_test,mbert,73.3333,0.722,0.733,0.134,0.5782,0.6643333333333333,ALL,BCL,mBERT Embdng,BCL | mBERT Embdng
4,all_languages,cebuano_test,mbert,71.0145,0.699,0.71,0.189,0.529,0.6833333333333335,ALL,CEB,mBERT Embdng,CEB | mBERT Embdng
4,all_languages,tagalog_test,all,47.1698,0.477,0.472,0.285,0.19,0.4643333333333333,ALL,TGL,ALL (mBERT),TGL | ALL (mBERT)
4,all_languages,bikol_test,all,76.6667,0.759,0.767,0.108,0.6322,0.6923333333333334,ALL,BCL,ALL (mBERT),BCL | ALL (mBERT)
4,all_languages,cebuano_test,all,68.1159,0.67,0.681,0.199,0.4901,0.6663333333333333,ALL,CEB,ALL (mBERT),CEB | ALL (mBERT)
4,all_languages,tagalog_test,xlmr,47.1698,0.471,0.472,0.275,0.203,0.4756666666666667,ALL,TGL,XLM-R Embdng,TGL | XLM-R Embdng
4,all_languages,bikol_test,xlmr,76.6667,0.776,0.767,0.108,0.6367,0.722,ALL,BCL,XLM-R Embdng,BCL | XLM-R Embdng
4,all_languages,cebuano_test,xlmr,76.8116,0.769,0.768,0.136,0.6277,0.743,ALL,CEB,XLM-R Embdng,CEB | XLM-R Embdng
4,all_languages,tagalog_test,all_xlmr,47.1698,0.474,0.472,0.276,0.2,0.472,ALL,TGL,ALL (XLM-R),TGL | ALL (XLM-R)
4,all_languages,bikol_test,all_xlmr,76.6667,0.785,0.767,0.097,0.6398,0.7216666666666667,ALL,BCL,ALL (XLM-R),BCL | ALL (XLM-R)
4,all_languages,cebuano_test,all_xlmr,76.8116,0.769,0.768,0.136,0.6277,0.743,ALL,CEB,ALL (XLM-R),CEB | ALL (XLM-R)
0,mono_tagalog,tagalog_test,trad,50.9434,0.467,0.509,0.259,0.247,0.454,TGL,TGL,TRAD,TGL | TRAD
