train_set,test_set,feature_set,accuracy,f1_weighted,precision_weighted,recall_weighted,kappa
bi_tagalog_cebuano,tagalog_test,all_xlmr,62.2642,0.706,0.623,0.219,0.4085
bi_tagalog_cebuano,bikol_test,all_xlmr,40.0,0.68,0.4,0.234,0.1469
bi_tagalog_cebuano,cebuano_test,all_xlmr,67.1429,0.791,0.671,0.126,0.5145
all_languages,tagalog_test,trad,52.8302,0.591,0.528,0.262,0.2651
all_languages,bikol_test,trad,50.0,0.494,0.5,0.281,0.1979
all_languages,cebuano_test,trad,65.7143,0.64,0.657,0.226,0.4426
all_languages,tagalog_test,trad_clgsngo,50.9434,0.494,0.509,0.267,0.2366
all_languages,bikol_test,trad_clgsngo,53.3333,0.471,0.533,0.307,0.2179
all_languages,cebuano_test,trad_clgsngo,65.7143,0.642,0.657,0.217,0.4459
all_languages,tagalog_test,mbert,54.717,0.546,0.547,0.239,0.3147
all_languages,bikol_test,mbert,66.6667,0.716,0.667,0.14,0.4819
all_languages,cebuano_test,mbert,65.7143,0.707,0.657,0.162,0.4743
all_languages,tagalog_test,all,54.717,0.548,0.547,0.242,0.3135
all_languages,bikol_test,all,70.0,0.734,0.7,0.133,0.5288
all_languages,cebuano_test,all,65.7143,0.723,0.657,0.155,0.4818
all_languages,tagalog_test,xlmr,54.717,0.598,0.547,0.249,0.298
all_languages,bikol_test,xlmr,63.3333,0.688,0.633,0.184,0.4241
all_languages,cebuano_test,xlmr,65.7143,0.705,0.657,0.162,0.4808
all_languages,tagalog_test,all_xlmr,50.9434,0.564,0.509,0.266,0.2445
all_languages,bikol_test,all_xlmr,66.6667,0.707,0.667,0.165,0.4737
all_languages,cebuano_test,all_xlmr,68.5714,0.729,0.686,0.152,0.5214
