hidden,epochs,fold,lang,feature_set,accuracy,kappa,f1_weighted
256,10,4,tagalog,mbert,49.0566,0.2129,0.527
256,10,4,tagalog,all,37.7358,0.0395,0.386
256,10,4,tagalog,xlmr,47.1698,0.1855,0.468
256,10,4,tagalog,all_xlmr,50.9434,0.2424,0.508
256,10,4,bikol,mbert,70.0,0.5345,0.719
256,10,4,bikol,all,70.0,0.5439,0.742
256,10,4,bikol,xlmr,70.0,0.5345,0.719
256,10,4,bikol,all_xlmr,76.6667,0.6386,0.78
256,10,4,cebuano,mbert,75.3623,0.6116,0.751
256,10,4,cebuano,all,75.3623,0.6121,0.75
256,10,4,cebuano,xlmr,76.8116,0.6171,0.77
256,10,4,cebuano,all_xlmr,75.3623,0.5937,0.75
256,50,0,tagalog,mbert,45.283,0.1692,0.449
256,50,0,tagalog,all,47.1698,0.1978,0.467
256,50,0,tagalog,xlmr,56.6038,0.3411,0.559
256,50,0,tagalog,all_xlmr,50.9434,0.2583,0.502
256,50,0,bikol,mbert,80.0,0.6721,0.774
256,50,0,bikol,all,80.0,0.6721,0.774
256,50,0,bikol,xlmr,76.6667,0.6196,0.756
256,50,0,bikol,all_xlmr,83.3333,0.7283,0.819
256,50,0,cebuano,mbert,74.2857,0.5925,0.74
256,50,0,cebuano,all,74.2857,0.5888,0.734
256,50,0,cebuano,xlmr,81.4286,0.7011,0.809
256,50,0,cebuano,all_xlmr,81.4286,0.7011,0.809
256,50,1,tagalog,mbert,56.6038,0.3425,0.574
256,50,1,tagalog,all,62.2642,0.427,0.637
256,50,1,tagalog,xlmr,60.3774,0.3971,0.616
256,50,1,tagalog,all_xlmr,62.2642,0.4245,0.643
256,50,1,bikol,mbert,66.6667,0.4536,0.65
256,50,1,bikol,all,63.3333,0.3956,0.615
256,50,1,bikol,xlmr,53.3333,0.2432,0.528
256,50,1,bikol,all_xlmr,60.0,0.3514,0.596
256,50,1,cebuano,mbert,67.1429,0.5003,0.724
256,50,1,cebuano,all,61.4286,0.417,0.692
256,50,1,cebuano,xlmr,62.8571,0.4163,0.649
256,50,1,cebuano,all_xlmr,58.5714,0.3494,0.61
256,50,2,tagalog,mbert,67.9245,0.5169,0.687
256,50,2,tagalog,all,64.1509,0.456,0.64
256,50,2,tagalog,xlmr,56.6038,0.3588,0.587
256,50,2,tagalog,all_xlmr,54.717,0.3305,0.56
256,50,2,bikol,mbert,66.6667,0.4652,0.67
256,50,2,bikol,all,70.0,0.5161,0.708
256,50,2,bikol,xlmr,76.6667,0.6216,0.767
256,50,2,bikol,all_xlmr,80.0,0.6721,0.798
256,50,2,cebuano,mbert,62.8571,0.4106,0.665
256,50,2,cebuano,all,60.0,0.3673,0.648
256,50,2,cebuano,xlmr,80.0,0.6897,0.812
256,50,2,cebuano,all_xlmr,78.5714,0.6655,0.802
256,50,3,tagalog,mbert,37.7358,0.0443,0.379
256,50,3,tagalog,all,39.6226,0.0666,0.393
256,50,3,tagalog,xlmr,49.0566,0.2252,0.491
256,50,3,tagalog,all_xlmr,54.717,0.3098,0.55
256,50,3,bikol,mbert,66.6667,0.4536,0.563
256,50,3,bikol,all,70.0,0.5064,0.585
256,50,3,bikol,xlmr,73.3333,0.5691,0.692
256,50,3,bikol,all_xlmr,73.3333,0.5691,0.692
256,50,3,cebuano,mbert,68.5714,0.5128,0.702
256,50,3,cebuano,all,67.1429,0.4902,0.691
256,50,3,cebuano,xlmr,60.0,0.373,0.614
256,50,3,cebuano,all_xlmr,64.2857,0.4396,0.665
256,50,4,tagalog,mbert,49.0566,0.2319,0.494
256,50,4,tagalog,all,45.283,0.1754,0.458
256,50,4,tagalog,xlmr,50.9434,0.2559,0.509
256,50,4,tagalog,all_xlmr,52.8302,0.2795,0.53
256,50,4,bikol,mbert,66.6667,0.4845,0.696
256,50,4,bikol,all,73.3333,0.5932,0.771
256,50,4,bikol,xlmr,73.3333,0.5812,0.736
256,50,4,bikol,all_xlmr,70.0,0.5238,0.69
256,50,4,cebuano,mbert,66.6667,0.4699,0.655
256,50,4,cebuano,all,69.5652,0.516,0.686
256,50,4,cebuano,xlmr,78.2609,0.654,0.789
256,50,4,cebuano,all_xlmr,76.8116,0.6356,0.787
