train_set,test_set,feature_set,accuracy_mean,accuracy_std,f1_weighted_mean,f1_weighted_std,precision_weighted_mean,precision_weighted_std,recall_weighted_mean,recall_weighted_std,kappa_mean,kappa_std,f1_macro_mean,f1_macro_std
mono_bikol,cebuano_test,all,63.308460000000004,5.7231626827305915,0.6235999999999999,0.06510222730444788,0.6334,0.05732625925350439,0.20339999999999997,0.05045096629401661,0.41807999999999995,0.09215564008784272,0.5735333333333333,0.06255424312813099
mono_bikol,cebuano_test,all_xlmr,60.741200000000006,5.706170612591249,0.5386,0.0975361471455583,0.6073999999999999,0.0572214994560611,0.261,0.016140012391568988,0.35588,0.07537968559233979,0.4968666666666667,0.050492903791853096
mono_bikol,cebuano_test,mbert,59.87164,5.385953890723536,0.611,0.08740995366661625,0.5988,0.05394163512538344,0.20060000000000003,0.04863435000079676,0.37624,0.08325492778208388,0.5304666666666666,0.06151720626513095
mono_bikol,cebuano_test,xlmr,60.45134,5.176404866603847,0.5354,0.09965089061318017,0.6046,0.0515490058100057,0.26339999999999997,0.02990484910512003,0.35036,0.07325280199418996,0.4962,0.055667964056737525
mono_bikol,tagalog_test,all,38.1132,5.565214681842922,0.0,0.0,0.381,0.05568662316930343,0.275,0.026804850307360396,0.1035,0.058052906903961324,0.298,0.05791133068944472
mono_bikol,tagalog_test,all_xlmr,34.339620000000004,5.876360253337096,0.0,0.0,0.3432,0.058661742217564594,0.25780000000000003,0.024045789652244732,0.08048,0.06273007253303634,0.2542666666666667,0.08068918418502223
mono_bikol,tagalog_test,mbert,35.849059999999994,6.398405873575074,0.0,0.0,0.3584,0.0639906243132539,0.2778,0.01465264481245621,0.07827999999999999,0.05861490424798116,0.2693333333333333,0.06663624305803027
mono_bikol,tagalog_test,xlmr,29.433960000000003,5.753922401110393,0.0,0.0,0.2942,0.057499565215747506,0.27199999999999996,0.010977249200050063,0.02128,0.04758352656119552,0.1758,0.07732744230435488
mono_cebuano,bikol_test,all,56.66668,15.81137775992339,0.7054,0.07493530543075143,0.5668,0.1580085440727811,0.1606,0.042494705552574424,0.37914,0.19317433318119673,0.5354666666666666,0.13855135429788396
mono_cebuano,bikol_test,all_xlmr,58.0,9.006186145644559,0.708,0.07440430095095313,0.58,0.09021640649017228,0.1752,0.06570540312637921,0.37856,0.13716059200805455,0.5436666666666666,0.11264225573814554
