fold,train_set,test_set,feature_set,accuracy,f1_weighted,precision_weighted,recall_weighted,kappa,Model,Test_Lang,Features,col,f1_macro
0,bi_bikol_tagalog,bikol_test,trad_clgsngo,80.0,0.779,0.8,0.13,0.6648,TGL+BCL,BCL,TRAD+CrossNGO,BCL | TRAD+CrossNGO,0.6803333333333333
0,bi_bikol_tagalog,cebuano_test,trad_clgsngo,52.8571,0.543,0.529,0.333,0.2222,TGL+BCL,CEB,TRAD+CrossNGO,CEB | TRAD+CrossNGO,0.5233333333333333
0,bi_bikol_tagalog,tagalog_test,mbert,45.283,0.474,0.453,0.296,0.1619,TGL+BCL,TGL,mBERT Embdng,TGL | mBERT Embdng,0.44533333333333336
0,bi_bikol_tagalog,bikol_test,mbert,83.3333,0.853,0.833,0.116,0.7207,TGL+BCL,BCL,mBERT Embdng,BCL | mBERT Embdng,0.767
0,bi_bikol_tagalog,cebuano_test,mbert,64.2857,0.639,0.643,0.285,0.3842,TGL+BCL,CEB,mBERT Embdng,CEB | mBERT Embdng,0.5533333333333333
0,bi_bikol_tagalog,tagalog_test,all,54.717,0.564,0.547,0.241,0.3094,TGL+BCL,TGL,ALL (mBERT),TGL | ALL (mBERT),0.524
0,bi_bikol_tagalog,bikol_test,all,73.3333,0.637,0.733,0.191,0.5402,TGL+BCL,BCL,ALL (mBERT),BCL | ALL (mBERT),0.5436666666666666
0,bi_bikol_tagalog,cebuano_test,all,70.0,0.726,0.7,0.259,0.4846,TGL+BCL,CEB,ALL (mBERT),CEB | ALL (mBERT),0.6533333333333333
0,bi_bikol_tagalog,tagalog_test,xlmr,52.8302,0.577,0.528,0.261,0.2712,TGL+BCL,TGL,XLM-R Embdng,TGL | XLM-R Embdng,0.48733333333333334
0,bi_bikol_tagalog,bikol_test,xlmr,80.0,0.0,0.8,0.165,0.6491,TGL+BCL,BCL,XLM-R Embdng,BCL | XLM-R Embdng,0.5856666666666667
0,bi_bikol_tagalog,cebuano_test,xlmr,65.7143,0.0,0.657,0.315,0.39,TGL+BCL,CEB,XLM-R Embdng,CEB | XLM-R Embdng,0.525
0,bi_bikol_tagalog,tagalog_test,all_xlmr,58.4906,0.633,0.585,0.229,0.3628,TGL+BCL,TGL,ALL (XLM-R),TGL | ALL (XLM-R),0.577
0,bi_bikol_tagalog,bikol_test,all_xlmr,83.3333,0.0,0.833,0.126,0.711,TGL+BCL,BCL,ALL (XLM-R),BCL | ALL (XLM-R),0.6066666666666667
0,bi_bikol_tagalog,cebuano_test,all_xlmr,65.7143,0.0,0.657,0.296,0.3978,TGL+BCL,CEB,ALL (XLM-R),CEB | ALL (XLM-R),0.5126666666666667
0,bi_cebuano_bikol,tagalog_test,trad,54.717,0.548,0.547,0.225,0.3198,BCL+CEB,TGL,TRAD,TGL | TRAD,0.5053333333333333
0,bi_cebuano_bikol,bikol_test,trad,86.6667,0.866,0.867,0.074,0.7838,BCL+CEB,BCL,TRAD,BCL | TRAD,0.8243333333333333
0,bi_cebuano_bikol,cebuano_test,trad,82.8571,0.835,0.829,0.137,0.7191,BCL+CEB,CEB,TRAD,CEB | TRAD,0.8193333333333334
0,bi_cebuano_bikol,tagalog_test,trad_clgsngo,54.717,0.56,0.547,0.234,0.3169,BCL+CEB,TGL,TRAD+CrossNGO,TGL | TRAD+CrossNGO,0.516
0,bi_cebuano_bikol,bikol_test,trad_clgsngo,86.6667,0.877,0.867,0.097,0.779,BCL+CEB,BCL,TRAD+CrossNGO,BCL | TRAD+CrossNGO,0.839
0,bi_cebuano_bikol,cebuano_test,trad_clgsngo,82.8571,0.843,0.829,0.136,0.7181,BCL+CEB,CEB,TRAD+CrossNGO,CEB | TRAD+CrossNGO,0.8073333333333333
0,bi_cebuano_bikol,tagalog_test,mbert,39.6226,0.259,0.396,0.294,0.1045,BCL+CEB,TGL,mBERT Embdng,TGL | mBERT Embdng,0.32466666666666666
