fold,train_set,test_set,feature_set,accuracy,f1_weighted,precision_weighted,recall_weighted,kappa,Model,Test_Lang,Features,col,f1_macro
0,bi_cebuano_bikol,bikol_test,mbert,86.6667,0.887,0.867,0.107,0.7714,BCL+CEB,BCL,mBERT Embdng,BCL | mBERT Embdng,0.731
0,bi_cebuano_bikol,cebuano_test,mbert,77.1429,0.79,0.771,0.117,0.6378,BCL+CEB,CEB,mBERT Embdng,CEB | mBERT Embdng,0.723
0,bi_cebuano_bikol,tagalog_test,all,45.283,0.317,0.453,0.29,0.1692,BCL+CEB,TGL,ALL (mBERT),TGL | ALL (mBERT),0.365
0,bi_cebuano_bikol,bikol_test,all,86.6667,0.887,0.867,0.107,0.7714,BCL+CEB,BCL,ALL (mBERT),BCL | ALL (mBERT),0.731
0,bi_cebuano_bikol,cebuano_test,all,80.0,0.817,0.8,0.099,0.6841,BCL+CEB,CEB,ALL (mBERT),CEB | ALL (mBERT),0.7643333333333334
0,bi_cebuano_bikol,tagalog_test,xlmr,45.283,0.528,0.453,0.281,0.1763,BCL+CEB,TGL,XLM-R Embdng,TGL | XLM-R Embdng,0.4086666666666667
0,bi_cebuano_bikol,bikol_test,xlmr,83.3333,0.799,0.833,0.113,0.7191,BCL+CEB,BCL,XLM-R Embdng,BCL | XLM-R Embdng,0.7033333333333333
0,bi_cebuano_bikol,cebuano_test,xlmr,78.5714,0.782,0.786,0.133,0.6575,BCL+CEB,CEB,XLM-R Embdng,CEB | XLM-R Embdng,0.7576666666666666
0,bi_cebuano_bikol,tagalog_test,all_xlmr,41.5094,0.5,0.415,0.302,0.1157,BCL+CEB,TGL,ALL (XLM-R),TGL | ALL (XLM-R),0.36833333333333335
0,bi_cebuano_bikol,bikol_test,all_xlmr,86.6667,0.887,0.867,0.107,0.7714,BCL+CEB,BCL,ALL (XLM-R),BCL | ALL (XLM-R),0.731
0,bi_cebuano_bikol,cebuano_test,all_xlmr,77.1429,0.768,0.771,0.137,0.6352,BCL+CEB,CEB,ALL (XLM-R),CEB | ALL (XLM-R),0.7343333333333333
0,bi_tagalog_cebuano,tagalog_test,trad,41.5094,0.0,0.415,0.318,0.1002,CEB+TGL,TGL,TRAD,TGL | TRAD,0.2873333333333333
0,bi_tagalog_cebuano,bikol_test,trad,56.6667,0.0,0.567,0.271,0.2857,CEB+TGL,BCL,TRAD,BCL | TRAD,0.4040000000000001
0,bi_tagalog_cebuano,cebuano_test,trad,67.1429,0.0,0.671,0.218,0.4579,CEB+TGL,CEB,TRAD,CEB | TRAD,0.514
0,bi_tagalog_cebuano,tagalog_test,trad_clgsngo,41.5094,0.0,0.415,0.318,0.1002,CEB+TGL,TGL,TRAD+CrossNGO,TGL | TRAD+CrossNGO,0.2873333333333333
0,bi_tagalog_cebuano,bikol_test,trad_clgsngo,60.0,0.0,0.6,0.251,0.337,CEB+TGL,BCL,TRAD+CrossNGO,BCL | TRAD+CrossNGO,0.4323333333333333
0,bi_tagalog_cebuano,cebuano_test,trad_clgsngo,67.1429,0.0,0.671,0.227,0.4546,CEB+TGL,CEB,TRAD+CrossNGO,CEB | TRAD+CrossNGO,0.5166666666666667
0,bi_tagalog_cebuano,tagalog_test,mbert,50.9434,0.646,0.509,0.234,0.2724,CEB+TGL,TGL,mBERT Embdng,TGL | mBERT Embdng,0.506
0,bi_tagalog_cebuano,bikol_test,mbert,76.6667,0.799,0.767,0.094,0.6354,CEB+TGL,BCL,mBERT Embdng,BCL | mBERT Embdng,0.7213333333333333
0,bi_tagalog_cebuano,cebuano_test,mbert,81.4286,0.86,0.814,0.101,0.703,CEB+TGL,CEB,mBERT Embdng,CEB | mBERT Embdng,0.7626666666666667
0,bi_tagalog_cebuano,tagalog_test,all,56.6038,0.642,0.566,0.212,0.3523,CEB+TGL,TGL,ALL (mBERT),TGL | ALL (mBERT),0.5516666666666666
0,bi_tagalog_cebuano,bikol_test,all,80.0,0.813,0.8,0.098,0.6809,CEB+TGL,BCL,ALL (mBERT),BCL | ALL (mBERT),0.753
0,bi_tagalog_cebuano,cebuano_test,all,82.8571,0.867,0.829,0.097,0.7255,CEB+TGL,CEB,ALL (mBERT),CEB | ALL (mBERT),0.7863333333333333
0,bi_tagalog_cebuano,tagalog_test,xlmr,52.8302,0.69,0.528,0.214,0.3092,CEB+TGL,TGL,XLM-R Embdng,TGL | XLM-R Embdng,0.488
0,bi_tagalog_cebuano,bikol_test,xlmr,70.0,0.81,0.7,0.098,0.5522,CEB+TGL,BCL,XLM-R Embdng,BCL | XLM-R Embdng,0.6586666666666666
0,bi_tagalog_cebuano,cebuano_test,xlmr,75.7143,0.779,0.757,0.148,0.608,CEB+TGL,CEB,XLM-R Embdng,CEB | XLM-R Embdng,0.6833333333333332
0,bi_tagalog_cebuano,tagalog_test,all_xlmr,54.717,0.695,0.547,0.213,0.3312,CEB+TGL,TGL,ALL (XLM-R),TGL | ALL (XLM-R),0.503
0,bi_tagalog_cebuano,bikol_test,all_xlmr,70.0,0.751,0.7,0.12,0.5385,CEB+TGL,BCL,ALL (XLM-R),BCL | ALL (XLM-R),0.6363333333333333
0,bi_tagalog_cebuano,cebuano_test,all_xlmr,75.7143,0.821,0.757,0.146,0.6086,CEB+TGL,CEB,ALL (XLM-R),CEB | ALL (XLM-R),0.6816666666666666
0,all_languages,tagalog_test,trad,52.8302,0.523,0.528,0.242,0.2853,ALL,TGL,TRAD,TGL | TRAD,0.5063333333333334
0,all_languages,bikol_test,trad,66.6667,0.692,0.667,0.15,0.4764,ALL,BCL,TRAD,BCL | TRAD,0.5783333333333333
0,all_languages,cebuano_test,trad,74.2857,0.745,0.743,0.19,0.5763,ALL,CEB,TRAD,CEB | TRAD,0.6970000000000001
0,all_languages,tagalog_test,trad_clgsngo,50.9434,0.52,0.509,0.252,0.2583,ALL,TGL,TRAD+CrossNGO,TGL | TRAD+CrossNGO,0.484
