fold,train_set,test_set,feature_set,accuracy,f1_weighted,precision_weighted,recall_weighted,kappa,f1_macro
0,bi_tagalog_cebuano,cebuano_test,all_xlmr,75.7143,0.787,0.757,0.138,0.6121,0.695
0,all_languages,tagalog_test,trad,49.0566,0.485,0.491,0.272,0.2197,0.46366666666666667
0,all_languages,bikol_test,trad,60.0,0.666,0.6,0.163,0.3909,0.5319999999999999
0,all_languages,cebuano_test,trad,71.4286,0.703,0.714,0.178,0.541,0.6923333333333334
0,all_languages,tagalog_test,trad_clgsngo,50.9434,0.512,0.509,0.265,0.247,0.47900000000000004
0,all_languages,bikol_test,trad_clgsngo,70.0,0.704,0.7,0.143,0.5213,0.6006666666666667
0,all_languages,cebuano_test,trad_clgsngo,74.2857,0.732,0.743,0.167,0.588,0.725
0,all_languages,tagalog_test,mbert,60.3774,0.603,0.604,0.203,0.3997,0.5926666666666667
0,all_languages,bikol_test,mbert,90.0,0.911,0.9,0.033,0.8413,0.8663333333333334
0,all_languages,cebuano_test,mbert,75.7143,0.752,0.757,0.143,0.6114,0.7226666666666667
0,all_languages,tagalog_test,all,60.3774,0.691,0.604,0.221,0.3891,0.5863333333333333
0,all_languages,bikol_test,all,83.3333,0.88,0.833,0.046,0.7423,0.7983333333333333
0,all_languages,cebuano_test,all,80.0,0.805,0.8,0.105,0.6895,0.8006666666666667
0,all_languages,tagalog_test,xlmr,54.717,0.55,0.547,0.244,0.3049,0.5173333333333333
0,all_languages,bikol_test,xlmr,86.6667,0.867,0.867,0.062,0.7861,0.8153333333333332
0,all_languages,cebuano_test,xlmr,80.0,0.801,0.8,0.125,0.6808,0.798
0,all_languages,tagalog_test,all_xlmr,56.6038,0.567,0.566,0.227,0.3397,0.536
0,all_languages,bikol_test,all_xlmr,86.6667,0.867,0.867,0.062,0.7861,0.8153333333333332
0,all_languages,cebuano_test,all_xlmr,80.0,0.801,0.8,0.125,0.6808,0.798
1,mono_tagalog,tagalog_test,trad,47.1698,0.718,0.472,0.295,0.1801,0.38433333333333336
1,mono_tagalog,bikol_test,trad,40.0,0.0,0.4,0.347,0.0476,0.22766666666666668
1,mono_tagalog,cebuano_test,trad,31.4286,0.59,0.314,0.212,0.0825,0.254
1,mono_tagalog,tagalog_test,trad_clgsngo,45.283,0.697,0.453,0.306,0.1508,0.35733333333333334
1,mono_tagalog,bikol_test,trad_clgsngo,40.0,0.0,0.4,0.347,0.0476,0.22766666666666668
1,mono_tagalog,cebuano_test,trad_clgsngo,30.0,0.547,0.3,0.215,0.0654,0.22566666666666668
